title,task,cost,date,views,answers,status
Отслеживание в Google Аналитика кликов по внешним ссылкам при рассылке из почты gmail,"Есть электронная рассылка писем из почты gmail, в письме есть ссылки на внешние сайты фирм. Нужно отследить в Google Аналитика статистику кликов, т.е. переходов на …",Договорная,1970-01-01,4,1,Для Бизнес-аккаунтов
Иллюстратор для книги,"Ищу художника для иллюстрирования книги. 
Книга с рецептами, будет издаваться в электронном виде, ее объем около 30 страниц. 
Хочу разбавить текст иллюстрациями (…",2 500 р.,1970-01-01,57,33,Для Бизнес-аккаунтов
Создание сайта под ключ,"Нужно сделать сайт наподобие https://oboi-vsem.ru/
Проект долгосрочный нужен ответственный исполнитель. Прошу указывать цену и сроки исполнения.
Сайт магазин с бо…",Договорная,1970-01-01,60,40,Для Бизнес-аккаунтов
Необходим порядовщик печей из кирпича 3D,Необходим порядовщик печей 3D,Договорная,1970-01-01,17,3,Для Бизнес-аккаунтов
Участие в форуме г.Москва- знакомство и сбор контактов,"На выставочном мероприятии необходимо завестись знакомством с потенциальными партнераим, презентовать продукт, собрать контакты, раздать визитки. Работа 2 дня, кофе…",Договорная,1970-01-01,6,0,Для Бизнес-аккаунтов
"Отрисовать 2d персонажа, девушку с фото",Необходимо нарисовать девушку для анимационного ролика. Фото предоставим,Договорная,1970-01-01,49,27,Для Бизнес-аккаунтов
Срочно нужна разработка дизайна Landing page на Tilda,"Наша фирма занимается сдачей в аренд складских помещений. С холодильным оборудованием и без. 
5-7 экранов, текста предоставляем. 
Большим плюсом будет, если у вас…",Договорная,1970-01-01,93,59,Для Бизнес-аккаунтов
Ведение группы в инстаграм,"Необходмо вести и развивать группу в инстаграм, т.е.  активное выкладывание постов ( 1 раз в 7 дней) и стори ( 3-4 стори в день). Специфика группы: микрофинансиров…",Договорная,1970-01-01,21,19,Для Бизнес-аккаунтов
SEO продвижение,"Планируем разрабатывать новый сайт (Tilda, Modx, Битекрс, что-то ещё) и интегрировать его с приложением, встал вопрос про сео продвижение. Тематика сайта будет: хим…",Договорная,1970-01-01,45,32,Для Бизнес-аккаунтов
Куплю каналы яндекс ДЗЕН,"Куплю каналы яндекс ДЗЕН 
Главное требование, чтобы канал был создан до ноября 2019 года. Также могу купить каналы с ограничениями. К отклику оставьте ссылку на ка…",Договорная,1970-01-01,16,2,Для Бизнес-аккаунтов
Система авторизации на Flask (Apache),"Шаблон регистрации для приложения на Flask - 4 страницы без контента
1) Login - форма для авторизации через ввод email и пароля
2) Sign up - форма регистрации пол…",Договорная,1970-01-01,4,2,Для Бизнес-аккаунтов
Съемка в Астрахани,"Отснять контейнер для сбора отходов/ пакет с отходами по указанным адресам, 46 объектов. Адреса расположены по всему городу Астрахань. Выполнить работу нужно в разн…",Договорная,1970-01-01,10,0,Для Бизнес-аккаунтов
Короткие текста 2 раза в день (до 1000 зн) + ответы на сообщения по шаблону (до 10 сообщений в день),"Нужен человек в помощь SMM менеджеру.
У нас политическая тематика, поэтому важна лаконичность, грамотность и четкость в изложении материала. Ошибки (грамматические…",Договорная,1970-01-01,173,24,
Удаленный маркетолог,"Нужен интернет-маркетолог, с которым будем работать на постоянной основе. Оплата по договоренности в зависимости от объема задач.",Договорная,1970-01-01,27,13,Для Бизнес-аккаунтов
Куплю старые каналы Яндекс дзен,Куплю каналы Яндекс дзен без монетизации. Главные требования к каналу: - канал должен быть создан до 1 ноября 2019 года - на канале должны отсутствовать ограничения…,500 р.,1970-01-01,8,4,Для Бизнес-аккаунтов
Starpass,"Необходимо разработать лендинг под ключ.
По ссылке доступно ТЗ и макеты экранов: https://drive.google.com/open?id=1n5QxRcjNaz8I-ybewn-beVaGUiG09pRN
Лендинг необхо…",45 000 р.,1970-01-01,67,30,Для Бизнес-аккаунтов
Сборка проекта BADSLAM,"Сборка проекта, размещенного на GitHub: https://github.com/ETH3D/badslam, для дальнейшей работы с ним в Visual Studio 2019. Для сборки необходим видеоадаптер с подд…",Договорная,1970-01-01,8,0,Для Бизнес-аккаунтов
"Проектирование металлических конструкций РАЗДЕЛ КМ, КМД ( навесы, козырьки, заборы)","Проектирование металлических конструкций ( навесы, козырьки, заборы)",Договорная,1970-01-01,13,7,Для Бизнес-аккаунтов
Дизайн сайта,Разработать дизайн сайта - сервис бытового ремонта,Договорная,1970-01-01,136,104,Для Бизнес-аккаунтов
Простой портал онлайн обучения,"Необходимо разработать портал онлайн обучения, достаточно простой. Три роли. Неавторизованный пользователь. Может подписаться на обучение. Проходить курсы на сайте,…",Договорная,1970-01-01,25,17,Для Бизнес-аккаунтов
Программа для Arduino,"Необходимо поправить программный код. 
Требование: при нажатии и удержании кнопки подавать постоянный сигнал на 2 пина(3 и 5 в тексте кода), а на третий(пин 6) дав…",Договорная,1970-01-01,8,1,Для Бизнес-аккаунтов
Мессенджер,"мессенджер построенный на геопозиции собеседников по типу Badoo или Tinder, но без ЛС, а с открытыми каналами(чатами)",Договорная,1970-01-01,15,7,Для Бизнес-аккаунтов
Нейминг компании,"Необходимо придумать название компании, которая занимается профессиональным управлением массажными салонами, СПА- салонами, в том числе отельными СПА, ритейл СПА. К…",Договорная,1970-01-01,39,25,Для Бизнес-аккаунтов
Разработка КП,Сделать коммерческое предложение в формате ворд,1 500 р.,1970-01-01,7,3,Для Бизнес-аккаунтов
Натяжка готовой верстки сайта на CMS wordpress,"Небольшой сайт (простая визитка, 5 страниц) без сложного функционала, личных кабинетов и тд, необходимо натянуть на Wordpress. Все подробности при выборе исполнител…",5 000 р.,1970-01-01,81,33,
Настройка таргетированной рекламы в FB и INSTAGRAM,Всем привет! У нас диджитал агентство и сейчас мы в поиске таргетолога для работы на постоянной основе.,Договорная,1970-01-01,25,16,Для Бизнес-аккаунтов
Анализ данных аренды жилья при помощи PySpark,"Используя только PySpark нужно анализировать один цсв файл.
1. Нужно найти самые выгодные предложения по арендной ставке и самые не выгодные. 
2. Понять имеет ли …",Договорная,1970-01-01,17,0,Для Бизнес-аккаунтов
Блок-схема + продающие тексты (прототипы),"Необходим маркетолог, который сделает блок-схему+ продающие тексты на лендинг и сайт. 

ЛЕНДИНГ ПОД КЛЮЧ НЕ НУЖЕН! НУЖЕН ТОЛЬКО ПРОТОТИП (блок схема). Давайте ува…",Договорная,1970-01-01,54,19,Для Бизнес-аккаунтов
Google SPEED поднятие показателей на сайте - срочно!,"Google SPEED поднятие показателей на сайте - срочно!
Нужны показатели 85+ показатель
Срок сегодня, в течении 4-5 часов, начать сразу

Оплата по готовности, БЕЗ …",1 800 р.,1970-01-01,13,4,Для Бизнес-аккаунтов
"Добавить капчу для регистрации в Joomla 1.5, VirtueMart 1.1.9","На старом сайте активно регистрируются боты, нужно добавить капчу ничего не сломав.
Какая капча будет - не важно, главное результат.
Она должна корректно отобража…",Договорная,1970-01-01,33,9,
Ищу таргетолога (тема Бьюти),"Если ты работал с салонами красоты ,студиями по бровям в Москве  и у тебя есть кейсы - Я жду тебя !)",Договорная,1970-01-01,23,20,Для Бизнес-аккаунтов
"Для создаздание канала на ютуб, набираю команду","Требуется
Видеомонтажер
сценарист (тематика игровая )
дизайнеры
звукорежиссёр (аудиомонтажер)
Кидайте пожалуйста примеры своих работ.
Склейки ,моушн- дизайн ,…",9 400 р.,1970-01-01,42,19,Для Бизнес-аккаунтов
Изменение внешней составляющей сервера GTA5 (HTML),"Требуется изменить внешний вид сервера GTA5 RAGE MP. По сути это тот же сайт написанный на HTML, но внутри игры.  Возможно в процессе работы у вас появятся креативн…",Договорная,1970-01-01,31,6,Для Бизнес-аккаунтов
Ищем таргетолога в премиальный проект компании Salon Marketing,"Что надо будет делать?

- работа с площадками Instagram, Facebook, Google, Yandex, Вконтакте
- продвижение премиум продукта стоимостью 500 000 р.
- настраивать …",Договорная,1970-01-01,30,12,Для Бизнес-аккаунтов
Перевести с украинского на английский А4 документ,Перевести с украинского на английский А4 документ,150 р.,1970-01-01,7,2,Для Бизнес-аккаунтов
текст для сайта,Добрый день. Для сайта нужны загаловки и тексты определяющие направление и призывающие к покупки услуг. Направление сайта это обучение в Вузе Франции. Наша компания…,Договорная,1970-01-01,34,23,Для Бизнес-аккаунтов
переводчик английского языка удаленно,ищем переводчика английского языка для удаленной работы. работы как для опытных переводчиков так и  для студентов.,Договорная,1970-01-01,7,2,Для Бизнес-аккаунтов
Собрать или найти базу данных кадастровых инженеров составить письмо и осуществить E-MAIL рассылку,"1. Необходимо собрать или найти базу данных e-mail адресов кадастровых инженеров России, их приблизительно 40 000. 
2. Составить правильное письмо по моему тексту …",10 000 р.,1970-01-01,16,7,Для Бизнес-аккаунтов
Оформить субтитры более читабельно,"Есть файл с субтитрами в формате morgt. Нужно оформить субтитры так, как указано на примере. Остальное в переписке.",500 р.,1970-01-01,20,9,Для Бизнес-аккаунтов
"Требуется специалист в области видеомонтажа, видеодизайна, графического дизайна.","Работы с Видео: 
- Монтаж – резка, склейка. 
- Добавление переходов, видео эффектов. 
- Наложение музыки. 
- Выравнивание громкости. 
- Промо ролики. 
- Презе…",Договорная,1970-01-01,33,25,Для Бизнес-аккаунтов
Прорекламировать сайт,"Нужно прорекламировать сайт dobrodengi1.com (подбор лучшего займа). 
Бюджет 1500р. пока столько. 
Пишите свои предложения.",1 500 р.,1970-01-01,20,11,Для Бизнес-аккаунтов
распознавание видеооизображений и объектов заданной формы и исследование его эффективности,"создать программу с вводом в нее видеопотока и дальнейшего анализа иозображений с  БД
интерфейс с вводом изображения или на прямую через камеру
выделение объекта …",3 000 р.,1970-01-01,12,1,Для Бизнес-аккаунтов
Цветокоррекция фото,Цветокоррекци. Изменить цвет камня в более зеленый и кожу в более загорелый тон,Договорная,1970-01-01,39,19,Для Бизнес-аккаунтов
В агентство по разработке сайтов на постоянную работу требуется верстальщик,"В агентство интернет-маркетинга требуется верстальщик. 
Основная задача - вёрстка сайтов.


О нас:
Занимаемся разработкой сайтов с 2014 года. Долгое время мы б…",Договорная,1970-01-01,26,7,Для Бизнес-аккаунтов
Дизайн вывесок,"Здравствуйте, необходимо сделать дизайн 3 вывесок, которые будут выполнены в виде наклеек на стену.

Пишите цену - без нее предложения не рассматриваю.

Если ес…",Договорная,1970-01-01,91,45,Для Бизнес-аккаунтов
"Надо сделать ролику,видео дизайн и видео монтаж.Промежуток ролика 15-20 мин.",Надо сделать ролик 15-20 мин.Срок на выполнение 1-2 дня.,Договорная,1970-01-01,29,13,Для Бизнес-аккаунтов
Монтаж видео,"Добрый день !

Необходимо смонтировать видео с Нью-Йорка. Всего 20 часов видео, нужно все просмотреть и выбрать лучшие кадры, а так  же добавить музыку которую я …",5 000 р.,1970-01-01,38,22,Для Бизнес-аккаунтов
Афиша мероприятий,"Необходима разработка афиш мероприятий в ночном клубе, посты и истории Инстаграм, баннеров, разработка меню",Договорная,1970-01-01,117,67,Для Бизнес-аккаунтов
"Дизайн сайта, листовки и тд",Создание сайтов по теме массажного салона,3 000 р.,1970-01-01,97,33,Для Бизнес-аккаунтов
Лечение сервера на firstvds.ru от вирусов,"Добрый день!

Есть VDS на firstvds.ru. Какой-то из сайтов взломали, и заразили остальные. Выглядит это так - куча файлов левых в корне сайта:
http://joxi.ru/bmoG…",Договорная,1970-01-01,46,13,
Художник для лонгрида,"Ищем художника для работы в Москве или в Новосибирске.
художнику нужно будет рисовать иллюстрации к лонгриду.: 1-4 раза в месяц выпускать лонгрид.
Тематика: кадас…",45 000 р.,1970-01-01,43,10,Для Бизнес-аккаунтов
Поиск Переводчиков,"Грамотные переводы зарубежных книг, журналов, статей, писем а также перевод видео с английского языка на русский и обратно.",Договорная,1970-01-01,18,11,Для Бизнес-аккаунтов
Требуется программист 1С Битрикс для поддержки сайта,"На первом этапе нужно подключить старый домен к новому шаблону, сохранить все URL (пути/ссылки), помочь с SEO. В перспективе регулярные заказы по поддержке сайта. Н…",1 000 р.,1970-01-01,25,6,Для Бизнес-аккаунтов
Магазин люстр и освещения,Требуется разработать интернет-магазин люстр и освещения. На данный момент работает магазин мебели (сайт отсутствует) и в нем открывается дополнительное направление…,Договорная,1970-01-01,104,45,Безопасная Сделка
Создание сайта под игравую тематику,Нужно сделать сайт для мониторинга игровых серверов Minecraft с покупкой раскрутки для сервера. Сайт для примера http://monitoringminecraft.ru. Желательно человек у…,Договорная,1970-01-01,76,38,Для Бизнес-аккаунтов
"Телеграмм бот - разработать, на любом языке - СРОЧНАЯ ЗАДАЧА!","Телеграмм бот - разработать, на любом языке 
Есть готовое техническое задание, вышлю кандидатам

Бюджет 10000 рублей
Оплата строго по готовности продукта, БЕЗ а…",10 000 р.,1970-01-01,22,6,Для Бизнес-аккаунтов
Доработка сайта CMS UMI,"Нужен программист который хорошо работает на UMI, знает все нюансы системы. 
Задача: 
1) Из 1С загружаются выгружается каталог товаров. Эти товары нужно положить …",Договорная,1970-01-01,18,11,Для Бизнес-аккаунтов
Дизайн 3 комнатной квартиры,"Полный дизайн 3х комнатной квартиры 76кв.м. + балкон 24кв.м. В квартире планируется приточно-вытяжная установка,  центральный пылесос, система Умный дом, сауна.
Ди…",Договорная,1970-01-01,53,34,Для Бизнес-аккаунтов
"Регистратор аккаунтов телеграмм вэб, многопоток","Многопоток обязательно, вэб версия",Договорная,1970-01-01,30,8,Безопасная Сделка
Необходимо расшифровать текст,"Есть файл речи судебного заседания (1 час 52 минуты), его перевести в текст.",950 р.,1970-01-01,27,6,Для Бизнес-аккаунтов
Набрать текст из книги используя Mathtype,"Переписать текст из книги (определенную главу)  и набрать формулы в Math Type. Вставить картинки и таблицы из книги. Таблицы необходимо набирать аккуратно, так как …",Договорная,1970-01-01,19,1,Для Бизнес-аккаунтов
Написание автобиографических книг,"Написание автобиографических книг на русском языке.
Возможна удалённая работа посредством расшифровки аудиозаписи, текстовых записей и тд.",Договорная,1970-01-01,23,8,Для Бизнес-аккаунтов
Разработка прайс лист для индивидуального мебельного производства,"Будут даны материалы и цены на них, нужно будет разработать схему просчёта для дилеров",Договорная,1970-01-01,8,4,Для Бизнес-аккаунтов
Сайт с нуля,Аналог сайта https://www.footballindex.co.uk/top-200 с уникальным скриптом. Подробности при общении,Договорная,1970-01-01,164,54,Безопасная Сделка
Анализ правильности учета в КА 2.4 Консультация и ответы на вопросы.,"Анализ правильности учета в КА 2.4 Консультация и ответы на вопросы.  Настройка закрытия месяца, обучение бухгалтерии. Ответы на вопросы, консультирование.",5 000 р.,1970-01-01,6,1,Для Бизнес-аккаунтов
Редизайн логотипа,"Нужно сделать сделать логотип векторным.
Для  потерной резки и черно белой печати.",Договорная,1970-01-01,109,63,Для Бизнес-аккаунтов
Изменить печатную форму отчета о закрытии кассовой смены ут 10.3,Изменить печатную форму отчета о закрытии кассовой смены ут 10.3. Добавить колонку с текущим остатком товара в печатную форму расход товаров со скаладов в ценах АТТ,1 000 р.,1970-01-01,9,2,Для Бизнес-аккаунтов
Разработка стартовой страницы сайта системы бронирования аэропортовых услуг,"Разработать дизайн домашней страницы для системы бронирования аэропортовых услуг+страница авторизации пользователя. 
Гайдлайн фирменного стиля компании прилагается…",3 000 р.,1970-01-01,63,38,Для Бизнес-аккаунтов
Копирайтер для написания статей на женские тематики,"Ищу копирайтера для написания статей на различные темы. Предпочтительнее девушки, т.к. темы в основном женские. Можно без опыта, главное, чтобы был живой слог и уме…",175 р.,1970-01-01,240,18,
Проект по отрисовке 3D моделей,"Добрый день!

На проект нужны 3D модели. Рефы во вложении. Стиль объектов должен быть примерно таким же. 

Вот какие объекты нужны:
1) Завод нефтедобычи 
2) Н…",Договорная,1970-01-01,60,15,Для Бизнес-аккаунтов
Wordpress - Вывести в шаблон несколько блоков,1.	Вывести блок с календарем http://joxi.ru/L21jBEgCgLWeOA  под поле поиска на мобильных вертикальном и горизонтальном разрешениях.  На вертикальном разрешении можн…,Договорная,1970-01-01,36,14,Для Бизнес-аккаунтов
Сделать лендинг на основе примера,"Добрый день!

Нужно сделать лендинг на основе другого готового лендинга 

6-7 экранов + 1 кпопка переключающая два экрана с примерами

дизайн+верстка 

Все …",5 000 р.,1970-01-01,113,66,Для Бизнес-аккаунтов
Требуется создание анимационного (моушен) ролика по готовому сценарию,"Добрый день, коллеги!
Требуется создание анимационного ролика (моушендизайн) по готовому сценарию.
Примерный хронометраж: 1 минута.

Ролик без подгонки под озву…",8 000 р.,1970-01-01,37,15,Для Бизнес-аккаунтов
Подготовка рекламы в Яндекс-директ,"Добрый день, уважаемые фрилансеры! В конце февраля мы планируем открытие ветеринарной клинике в Москве, ЮАО. В связи с этим нам понадобится реклама (на данный момен…",Договорная,1970-01-01,31,19,Для Бизнес-аккаунтов
Писатель для лонгрида,"Ищем писателя для работы в Москве или в Новосибирске.

Нужны для блога: 1-4 раза в месяц выпускать лонгрид.
Тематика: кадастр, кибернетика, градостроительство, к…",50 000 р.,1970-01-01,16,5,Для Бизнес-аккаунтов
JS скрипт ДЛЯ вариаций вордпресс,"Написать не большой исполнительный скрипт для выбора вариаций на движке вордпресс.
Есть интерактивная схема, для примера сектора стадиона
Наводишь на сектор - под…",500 р.,1970-01-01,22,4,Для Бизнес-аккаунтов
Доработки интернет-магазина на готовом решении Aspro: Next,"Если получилось бы, то могли бы поговорить по скайпу и обсудить задачи более подробно! 

Сейчас такие задачи стоят перед сайтом: 

- Ускорить сайт (чтобы открыв…",Договорная,1970-01-01,20,13,Для Бизнес-аккаунтов
Нужно доработать андроид приложение,Есть андроид Приложение там есть чат для переписки с продавцом и покупателем он работает через firebase cloud messaging его нужно убрать у меня есть еще один чат пр…,3 000 р.,1970-01-01,7,1,Для Бизнес-аккаунтов
MOGUTA CMS. Кто имеет опыт?,"Хочу приобрести магазин на движке moguta cms. Цель дальнейшего продвижения по seo. Имеет ли кто нибудь опыт с данным движком, как он покажет себя в качестве интерне…",Договорная,1970-01-01,14,9,Для Бизнес-аккаунтов
Создание сайта на opencart,Добрый день. Необходимо разработать с нуля сайт на opencart. Ниже приведены примерные варианты как это должно выглядеть в итоге. Пока на данном этапе необходимо зна…,Договорная,1970-01-01,72,61,Для Бизнес-аккаунтов
Продажи бытовой техники. 50% ваши,"Дорогие друзья! Идёт набор в нашу компанию!Работа заключается в продаже техники (ноутбуков, телефонов и т.д.)Мы работаем по всем городам РФ и УК.Мы отсылаем вам тов…",Договорная,1970-01-01,21,2,Для Бизнес-аккаунтов
Ведение отчетов,"РАБОТА НА ДОМУ
В компанию специализирующуюся на выполнении домашних, курсовых и дипломных работ требуется человек который будет вести отчеты по выполненным работам…",10 000 р.,1970-01-01,21,11,Для Бизнес-аккаунтов
Ведение акаунта в Instagram. Психология.,"Задача
Полное ведение блога в Инстаграм по тематике Психология. 
Необходимо: 
Разработка маркетинговой стратегии 
Разработка контент плана с автоматическим пост…",10 000 р.,1970-01-01,35,17,Для Бизнес-аккаунтов
Продвижение салона красоты,"Нужно продвинуть салон красоты по городу: 
- реклама в соц сетях
- реклама в поисковиках",Договорная,1970-01-01,41,34,Для Бизнес-аккаунтов
Сделать дизайн сайта путешествия,"Что же нужно мне, это сделать красивый сайт путешествий. Другие моменты мы обсудим в при обсуждении проекта",Договорная,1970-01-01,149,118,Для Бизнес-аккаунтов
Проект по диафану DIAFAN CMS,"Добрый день, прикрепляю тз. Сайт element3d.ru/. Пишите цены и сроки. Требуется доработка сайта на DIAFAN CMS.",10 000 р.,1970-01-01,37,6,Для Бизнес-аккаунтов
"Интересный проект Халва Совкомбанк, Прозвон базы","Работа на постоянной основе по свободному графику (1-2 часа в день), нужен активный и ответственный человек. Проект действительно интересный , который достаточно ле…",Договорная,1970-01-01,12,1,Для Бизнес-аккаунтов
Визуализация остановочного павильона с торговой галереей.,"Задание имеет высокую срочность. Необходима визуализация остановочного павильона с торговой галереей.
Исходный материал. Схема местности ручками нарисована. Планир…",15 000 р.,1970-01-01,234,41,
Необходимо 3d визуализацию барбекю комплекса из кирпича. Также нужны порядовщики.,"Визуализацию выполнить по тех.заданию. Если есть примеры, хочу посмотреть.",Договорная,1970-01-01,42,17,Для Бизнес-аккаунтов
"Ошибка ""дублирования"" при подборе товаров в списке УТ 11","При подборе некоторых позиций номенклатуры в УТ 11 стала возникать ошибка ""Обнаружена ошибка дублирования ключевых значений в колонках: ""Ссылка"". Ото…",Договорная,1970-01-01,11,6,Для Бизнес-аккаунтов
Вебдизайн для Youtube канала,"Интересует Большой банер для Youtube канала а так же банеры для видеороликов на постоянной основе 1 банер в день.
Какие у вас Расценки?
Мой канал о Шаманизме: htt…",Договорная,1970-01-01,76,37,Для Бизнес-аккаунтов
Разработать коммерческое предложение,"Составить комм предложение. Оказание услуг.
Ремонт смартфонов и планшетов и ноутбуков(мобильной техники) для ломбардов.
Т.е. мы сервисный центр, предлагаем делать…",300 р.,1970-01-01,12,4,Для Бизнес-аккаунтов
Откорректировать файлы в прошивке автомагнитолы. Инструкция на форуме,"В существующую прошивку автомагнитоллы внести изменения (задача изменить японский язык на английский), далее собрать обновленную прошивку. Инструкция по внесению из…",Договорная,1970-01-01,11,2,Для Бизнес-аккаунтов
создать простой клип,"на основе песни которую я вам предоставлю,нужно подобрать видеоряд из фильмов и подставить минимальные эффекты",700 р.,1970-01-01,29,15,Для Бизнес-аккаунтов
Настроить контекстную и банерную рекламу на лендинг,Настроить контекст и банерную рекламу на лендинг,500 р.,1970-01-01,35,26,Для Бизнес-аккаунтов
баннер для сайта/группы facebook,"нужно обновить баннер для странице на фейсбуке 

https://www.facebook.com/WestCoastChameleonBrothers

чтобы сочеталось со стилем сайта - https://www.chameleonbr…",Договорная,1970-01-01,35,16,Для Бизнес-аккаунтов
Сделать несколько простых роликов,"Есть фотографии альбома на фотофоне, также есть другой фотофон.
Задача:
1. Поменять на всех фото (около 15 альбомов по 10 фото в каждом примерно) и отправить мне …",Договорная,1970-01-01,218,20,Безопасная Сделка
Нужен Художник / Иллюстратор,"Нужен Художник - Иллюстратор, нужны несложные рисунки и иллюстрации",Договорная,1970-01-01,71,41,Для Бизнес-аккаунтов
Ищу таргетолога для продвижения рабочего аккаунта Instagram,"Нужен мастер таргетолог, для продвижения рабочего аккаунта в Instagram, тематика аккаута ногтевой сервис и манекюр.",Договорная,1970-01-01,23,20,Для Бизнес-аккаунтов
Необходимо спроектировать и начертить развязочные узлы внутренних инженерных сетей в квартире,"Необходимо расчертить развязочные узлы внутренних инженерных сетей (схему соединений (монтажная)): электрика (как на фото 1); сантехника (фото 2,3); отопление(фото …",Договорная,1970-01-01,12,2,Для Бизнес-аккаунтов
Хорошее английское произношение. Девушка.,Телефонный разговор. Одноразовая работа.,Договорная,1970-01-01,3,0,Для Бизнес-аккаунтов
Модерация контекстной рекламы яндекс директ,"Всем привет!
Наша компания занимается продажей мебели через интернет магазин. Используем купоны яндекс директ. Больше года использовали, всегда проходили модерацию…",Договорная,1970-01-01,20,9,Для Бизнес-аккаунтов
Ищем аудио/видеоредакторов,"Всем привет, нам нужны хорошие монтажеры для блогов на Youtube (убедительная просьба, пожалуйста, вбейте следующие запросы в поиск Youtube и перейдите на каналы для…",40 000 р.,1970-01-01,31,11,Для Бизнес-аккаунтов
Опытный ASP.NET Core разработчик для длительного сотрудничества,"Если вы:
- Опытный бэкенд разработчик .NET, хорошо владеете ASP.NET Core и связанным с ним стеком
- Устали проглядывать бесконечную ленту предложений в поисках за…",Договорная,1970-01-01,28,5,Заключение договора
Визитка (дизайн),"Сделать визитку репетитора (экономика, финансы, бухучет). Содержит: телефон, еmail, Skype. Предпочтение бизнес-стилю. Также возможно размещение собственного фото с …",Договорная,1970-01-01,125,85,Для Бизнес-аккаунтов
Редактирование верхнего меню (подпункты),"показать где редактируются подпункты верхнего меню, не могу и найти чтобы удалить сайт
http://aes-aegroup.ru/",200 р.,1970-01-01,17,11,Для Бизнес-аккаунтов
Гиф анимированные баннеры,"Нужно сделать анимированные баннеры для дискорд сервера, все примеры работ скину в лс",Договорная,1970-01-01,31,18,Для Бизнес-аккаунтов
Инстаграм-гид о Турции,"Ищу дизайнера-фрилансера для проектной работы.
Проект - авторский Инстаграм-гид для путешественников. 

Формат А5 (для печати)

https://docs.google.com/spreads…",10 000 р.,1970-01-01,63,27,Для Бизнес-аккаунтов
Коррекция сайта,"Необходимо внести изменения на главной странице сайта. Убрать текст, добавить новый, посмотреть ошибки, улучшить мобильную версию.",Договорная,1970-01-01,69,29,Для Бизнес-аккаунтов
Спроектировать макет дома,"Надо спроектировать чертёж и спроектировать рисунок дома, который расположен в природном ландшафте на берегу моря или озера. Часть комнат дома должны находиться под…",Договорная,1970-01-01,39,10,Для Бизнес-аккаунтов
Переверстать сайт на Битрикс или другой быстрый движок,"Добрый день! 
Необходимо переверстать данный сайт на битрикс , так как на тильде он тормозит. Или на любую другую быструю платформу https://titanof.tilda.ws
На са…",20 000 р.,1970-01-01,48,26,Для Бизнес-аккаунтов
Сделать баннеры для навигации в магазине косметики,"Ищу дизайнера, который поможет разработать навигацию для магазина корейской косметики. Нужно сделать ""коллажи"" товаров и брендов, которые будут размещены …",10 000 р.,1970-01-01,92,52,Для Бизнес-аккаунтов
Создать персональный логотип,"Доброго времени суток.
Требуется создать персональный логотип. Он должен быть интересный, креативный и цепляющий взгляд.
Тематика: игра World of Tanks
Ник: Water…",500 р.,1970-01-01,39,21,Для Бизнес-аккаунтов
Не работает страница админки + востановить пароль Opencart,"Ошибка на странице админ панели

Fatal error: Uncaught exception 'Twig_Error_Loader' with message 'Unable to find template ""common/header.twig"" (looked …",Договорная,1970-01-01,20,10,Для Бизнес-аккаунтов
